id;subject;city;flore;wiki;other
1;Duomo - Firenze;Firenze ;x;x;
2;Ponte Vecchio ;Firenze ;x;x;
3;Battistero;Firenze ;x;x;
4;Uffizi;Firenze ;x;x;
5;Replica del David;Firenze ;x;x;
6;Biancone Piazza Signoria;Firenze ;x;x;
7;Accademia delle belle arti;Firenze ;x;x;
8;Santissima Annunziata;Firenze;x;x;
9;Meridiana Ponte Vecchio;Firenze;x;x;
10;Targhetta Bettino Ricasoli;Firenze;x;x;
11;Arena ;Verona;;x;x
12;Duomo;Milano;;x;x
13;Mole Antonelliana;Torino ;;x;x
14;Piazza Plebiscito;Napoli;;x;x
15;Teatro Massimo;Palermo;;x;x
16;Cattedrale;Palermo;;x;x
17;Torri/Portici;Bologna;;x;x
18;Tempio di Nettuno;Paestum;;x;x
19;Colosseo;Roma;;x;x
20;Centro Storico ;San Gimignano;;x;x
